[2025-07-10 03:01:39,843] [WARNING]: Matplotlib is building the font cache; this may take a moment.
[2025-07-10 03:01:41,356] [INFO]: generated new fontManager
[2025-07-10 03:01:47,022] [INFO]: INITIALIZING URS.
[2025-07-10 03:01:47,022] [INFO]: 
[2025-07-10 03:01:48,149] [INFO]: HELP OR VERSION WAS DISPLAYED.

[2025-07-10 03:03:47,139] [INFO]: INITIALIZING URS.
[2025-07-10 03:03:47,139] [INFO]: 
[2025-07-10 03:03:47,159] [INFO]: HELP OR VERSION WAS DISPLAYED.

[2025-07-10 03:04:16,118] [INFO]: INITIALIZING URS.
[2025-07-10 03:04:16,118] [INFO]: 
[2025-07-10 03:04:16,132] [INFO]: HELP OR VERSION WAS DISPLAYED.

[2025-07-10 03:05:23,365] [INFO]: INITIALIZING URS.
[2025-07-10 03:05:23,365] [INFO]: 
[2025-07-10 03:05:23,371] [INFO]: HELP OR VERSION WAS DISPLAYED.

[2025-07-10 03:06:07,562] [INFO]: INITIALIZING URS.
[2025-07-10 03:06:07,562] [INFO]: 
[2025-07-10 03:06:07,588] [INFO]: HELP OR VERSION WAS DISPLAYED.

[2025-07-10 03:07:48,867] [INFO]: INITIALIZING URS.
[2025-07-10 03:07:48,867] [INFO]: 
[2025-07-10 03:07:48,883] [INFO]: HELP OR VERSION WAS DISPLAYED.

[2025-07-10 03:09:31,026] [INFO]: INITIALIZING URS.
[2025-07-10 03:09:31,026] [INFO]: 
[2025-07-10 03:09:32,090] [CRITICAL]: LOGIN FAILED.
[2025-07-10 03:09:32,090] [CRITICAL]: PRAWCORE EXCEPTION: received 401 HTTP response.
[2025-07-10 03:09:32,092] [CRITICAL]: ABORTING URS.

[2025-07-10 03:16:07,126] [INFO]: INITIALIZING URS.
[2025-07-10 03:16:07,126] [INFO]: 
[2025-07-10 03:16:08,850] [CRITICAL]: LOGIN FAILED.
[2025-07-10 03:16:08,850] [CRITICAL]: PRAWCORE EXCEPTION: invalid_grant error processing request.
[2025-07-10 03:16:08,850] [CRITICAL]: ABORTING URS.

[2025-07-10 03:16:52,101] [INFO]: INITIALIZING URS.
[2025-07-10 03:16:52,101] [INFO]: 
[2025-07-10 03:16:53,690] [CRITICAL]: LOGIN FAILED.
[2025-07-10 03:16:53,690] [CRITICAL]: PRAWCORE EXCEPTION: invalid_grant error processing request.
[2025-07-10 03:16:53,690] [CRITICAL]: ABORTING URS.

[2025-07-10 03:19:48,839] [INFO]: INITIALIZING URS.
[2025-07-10 03:19:48,839] [INFO]: 
[2025-07-10 03:19:50,555] [CRITICAL]: LOGIN FAILED.
[2025-07-10 03:19:50,555] [CRITICAL]: PRAWCORE EXCEPTION: invalid_grant error processing request.
[2025-07-10 03:19:50,555] [CRITICAL]: ABORTING URS.

[2025-07-10 03:25:25,145] [INFO]: INITIALIZING URS.
[2025-07-10 03:25:25,145] [INFO]: 
[2025-07-10 03:25:26,735] [CRITICAL]: LOGIN FAILED.
[2025-07-10 03:25:26,735] [CRITICAL]: PRAWCORE EXCEPTION: invalid_grant error processing request.
[2025-07-10 03:25:26,735] [CRITICAL]: ABORTING URS.

[2025-07-10 03:45:50,039] [INFO]: INITIALIZING URS.
[2025-07-10 03:45:50,039] [INFO]: 
[2025-07-10 03:45:51,632] [CRITICAL]: LOGIN FAILED.
[2025-07-10 03:45:51,632] [CRITICAL]: PRAWCORE EXCEPTION: invalid_grant error processing request.
[2025-07-10 03:45:51,632] [CRITICAL]: ABORTING URS.

[2025-07-10 04:03:26,380] [INFO]: INITIALIZING URS.
[2025-07-10 04:03:26,380] [INFO]: 
[2025-07-10 04:03:27,439] [CRITICAL]: LOGIN FAILED.
[2025-07-10 04:03:27,439] [CRITICAL]: PRAWCORE EXCEPTION: received 401 HTTP response.
[2025-07-10 04:03:27,439] [CRITICAL]: ABORTING URS.

