matched_product,match_confidence,product_name,skin_type,price_size,effects,status,availability,comment_id,comment_score,comment_created_utc,comment_author,comment
Cetaphil Gentle Skin Cleanser,0.66,Vanicream Gentle Facial Cleanser,"Oily, Sensitive","237ml, $8.05 (roughly ₱480+ lang but expect high markup from resellers)","Ever since I started incorporating Tretinoin into my routine, this has been the only cleanser that doesn’t irritate my face. Most cleanser would sting me now, but this doesn’t. Very gentle, and non-stripping/drying. One bottle would last me at least 1.5 months since kaunti lang naman ako gumamit ng cleanser. This was also the first thing I bought when I went to the US a few months ago. I’m glad that Amazon is now directly shipping to PH, because I will surely buy and stock up on this again.",HG (Holy Grail),"Amazon, Lazada & Shopee (resellers)",k8s5d05,14,1699709485.0,meganeai,"Skin type: Oily, sensitive
Product name: Vanicream Gentle Facial Cleanser
Price and size: 237ml, $8.05 (roughly ₱480+ lang but expect high markup from resellers)
Where to buy: Amazon, Lazada & Shopee (resellers)
Effects/experience: Ever since I started incorporating Tretinoin into my routine, this has been the only cleanser that doesn’t irritate my face. Most cleanser would sting me now, but this doesn’t. Very gentle, and non-stripping/drying. One bottle would last me at least 1.5 months since kaunti lang naman ako gumamit ng cleanser. This was also the first thing I bought when I went to the US a few months ago. I’m glad that Amazon is now directly shipping to PH, because I will surely buy and stock up on this again.
Status: HG, WRP until I d!e."
Cosrx Salicylic Acid Daily Gentle Cleanser,0.8,Cosrx Salicylic Acid Daily Gentle Cleanser & Cosrx Good Morning Facial Cleanser,"Oily, Combination, Sensitive",Both 250 for 50ml,"No itchiness, redness or any adverse reaction sa skin ko. Skin feels soft and clean talaga. Sa umaga ko ginagamit yung Good Morning Facial Cleanser and sa gabi yung Salicylic Acid. ☺️",WR (Will Repurchase),Piggies Shop sa orange app / Meron din sa Watsons Official Store ng orange app,k97q4mn,12,1699971568.0,MundaneTwistedMind,"Skin Type: Oily/Combination, Sensitive Skin
Product Name: Cosrx Salicylic Acid Daily Gentle Cleanser & Cosrx Good Morning Facial Cleanser
Price and Size: Both 250 for 50ml
Where to buy: Piggies Shop sa orange app / Meron din sa Watsons Official Store ng orange app
Effects/Experience: No itchiness, redness or any adverse reaction sa skin ko. Skin feels soft and clean talaga. Sa umaga ko ginagamit yung Good Morning Facial Cleanser and sa gabi yung Salicylic Acid. ☺️
Status: WR = will repurchase"
Cosrx Salicylic Acid Daily Gentle Cleanser,0.8,COSRX Low pH Good Morning Gel Cleanser and COSRX Salicylic Acid Daily Gentle Cleanser,"Sensitive, Dry, Oily",Good Morning Gel Cleanser= 299 php for 150ml ; Salicylic Acid 299 php for 150ml also (sale ngayon idk the og price),"My skin is already so sensitive and dry, but the Low pH and Salicylic Acid Cleansers doesn't make it worse. The Low ph cleanser does wonders in drying out pimples and cleaning the face without any stripping. Sometimes, kapag nakakalimutan ko mag moisturize, gigising ako kinabukasan w/o any dry, flaky, and redness on any parts of my face. I only use the Salicylic Acid cleanser 2 or 3 times a week. Low lang concentration niya ng Salicylic Acid, pero its really helpful in removing white heads around the nose, chin, and forehead (just make sure to rub it thoroughly).",HG (Holy Grail),"Shopee, Tiktok Shop, Watsons (jusy make sure na sa official page kayo ng COSR bibili)",k8uqoeu,11,1699743544.0,YettersGonnaYeet,"Skin Type: Sensitive, Dry, and Oily on some areas
Product Name: COSRX Low pH Good Morning Gel Cleanser and COSRX Salicylic Acid Daily Gentle Cleanser
Price and Size: Good Morning Gel Cleanser= 299 php for 150ml ; Salicylic Acid 299 php for 150ml also (sale ngayon idk the og price)
Where to buy: Shopee, Tiktok Shop, Watsons (jusy make sure na sa official page kayo ng COSR bibili)
Effects/Experience: My skin is already so sensitive and dry, but the Low pH and Salicylic Acid Cleansers doesn't make it worse.
The Low ph cleanser does wonders in drying out pimples and cleaning the face without any stripping. Sometimes, kapag nakakalimutan ko mag moisturize, gigising ako kinabukasan w/o any dry, flaky, and redness on any parts of my face.
I only use the Salicylic Acid cleanser 2 or 3 times a week. Low lang concentration niya ng Salicylic Acid, pero its really helpful in removing white heads around the nose, chin, and forehead (just make sure to rub it thoroughly).
Status: HG and WR on both!!"
Cosrx Salicylic Acid Daily Gentle Cleanser,0.73,Klued - 2% Salicylic Acid Gentle Cleanser 120m|,Combination,₱ 349 / 120 mL (bought mine at ₱192 during sale),"Parang hindi nakaka wash ng face? But I guess ganun lang talaga yung effect since it’s advertised as a “gentle” cleanser. Second bottle ko na. I need cleansers with SA (salicylic acid) kasi these type of cleansers prevent huge pimples sa face ko. I went on a vacay so iniwan ko to and gosh nag break out ako. Before, COSRX Salicylic Acid Daily Gentle Cleanser (white and red variant) gamit ko but superrrr drying for me, so I switched to Klued.",WR (Will Repurchase (ALREADY DID)),Official online stores (Shopee or Laz),k8vezrt,10,1699753280.0,Charmeeleone,"Skin Type: Combination
Product Name: Klued - 2% Salicylic Acid Gentle Cleanser 120m|
Price and Size: ₱ 349 / 120 mL (bought mine at ₱192 during sale)
Where to buy: Official online stores (Shopee or Laz)
Effects/Experience: Parang hindi nakaka wash ng face? But I guess ganun lang talaga yung effect since it’s advertised as a “gentle” cleanser. Second bottle ko na. I need cleansers with SA (salicylic acid) kasi these type of cleansers prevent huge pimples sa face ko. I went on a vacay so iniwan ko to and gosh nag break out ako. Before, COSRX Salicylic Acid Daily Gentle Cleanser (white and red variant) gamit ko but superrrr drying for me, so I switched to Klued.
Status: Will repurchase (already did)."
Cosrx Salicylic Acid Daily Gentle Cleanser,0.78,CosRx Salicyclid Acid Cleanser,"Oily, Acne Prone",295php yata sa Shopee?,"Since 2020 ko ito gamit and around this time, super dami kong pimples 🥲 A friend recommended this to me at nahiyang ako, pero siya daw hindi hiyang HAHA i still get pimples pero hindi siya kasing bad compared sa dati hahaha. And mostly mabilis mawala kasi hormonal or diet naman ang cause.",HG (Holy Grail),"Lazada, Shopee, Watson’s",k8s0h1h,9,1699706966.0,Valuable-Switch-1159,"Skin Type: Oily, Acne-Prone
Product Name: CosRx Salicyclid Acid Cleanser
Price: 295php yata sa Shopee?
Where to buy: Lazada, Shopee, Watson’s
Experience: Since 2020 ko ito gamit and around this time, super dami kong pimples 🥲 A friend recommended this to me at nahiyang ako, pero siya daw hindi hiyang HAHA i still get pimples pero hindi siya kasing bad compared sa dati hahaha. And mostly mabilis mawala kasi hormonal or diet naman ang cause.
Status: HG for me"
COSRX Low pH Good Morning Gel Cleanser,0.8,COSRX Low pH Good Morning Gel Cleanser + Axis-Y Quinoa One-Step Balanced Gel Cleanser,"Oily, Combination","COSRX 150ml (php 350), Axis-Y 180ml (php 565)","COSRX’s gel cleanser has been a skincare staple for me since pre-pandemic times. There’s very little I can add into the array of rave reviews about it that already exist, but as always, it’s non-stripping, lathers nicely, and does everything a basic, no-frills AM cleanser should do. The Axis-Y quinoa cleanser has a thinner and more watery consistency than COSRX, so I use this in the PM after cleansing with a balm (I use Heimish’s btw!). It lathers just enough to get rid of any residual makeup, sunscreen, and/or cleansing balm. And when I get out of the shower at night, my face doesn’t feel uncomfortably tight. Just a note: Both of these cleansers smell clean (somewhat botanical?) but aren’t fragranced to high heaven, so they’re perfect for someone like me who also happens to dislike strong perfume-y scents in skincare.",HG (Holy Grail),Shopee/Lazada,k8uecrz,8,1699739206.0,chairo__,"Skin Type: oily combination
Product Name: COSRX Low pH Good Morning Gel Cleanser + Axis-Y Quinoa One-Step Balanced Gel Cleanser
Price and Size: COSRX 150ml (php 350), Axis-Y 180ml (php 565)
Where to buy: Shopee/Lazada
Experience: COSRX’s gel cleanser has been a skincare staple for me since pre-pandemic times. There’s very little I can add into the array of rave reviews about it that already exist, but as always, it’s non-stripping, lathers nicely, and does everything a basic, no-frills AM cleanser should do.
The Axis-Y quinoa cleanser has a thinner and more watery consistency than COSRX, so I use this in the PM after cleansing with a balm (I use Heimish’s btw!). It lathers just enough to get rid of any residual makeup, sunscreen, and/or cleansing balm. And when I get out of the shower at night, my face doesn’t feel uncomfortably tight.
Just a note: Both of these cleansers smell clean (somewhat botanical?) but aren’t fragranced to high heaven, so they’re perfect for someone like me who also happens to dislike strong perfume-y scents in skincare.
Status: COSRX HG, Axis-Y WR"
Cerave Hydrating Cream-to-Foam Cleanser,0.68,Cerave Acne Control Cleanser,"Oily, Sensitive",Around Php1K for 237mL,,WR (Will Repurchase),Shopee (Beautyteeps),k8s61og,6,1699709827.0,Kind_Context_1085,"Skin Type: Oily, sensitive
Product Name: Cerave Acne Control Cleanser
Price & Size: Around Php1K for 237mL
Where to buy: Shopee (Beautyteeps)
Status: WR"
Pyunkang Yul Acne Facial Cleanser,0.66,Oxecure acne clear facial cleanser,"Normal, Oily",199 pesos for 50 mL and 419 pesos for 120 mL,"Ito lang yung effective sakin na cleanser na hindi ako nagddry, I used to love oxecure's pH 5.5 cleanser but nag-breakout na ako simula nung nagreformulate sila so I switched to this. Effective for me! But of course I won't say na this solely cleared my acne, but it helps me control them and di siya dumadagdag sa problema ko. Matipid siya for me! I think it's slightly expensive for its size but super tipid for me and ilang months an bago maubos, I usually buy pag sale so sulit.",HG (Holy Grail),"Drug stores, watsons, lazada, shopee",k8s28tw,5,1699707915.0,rfranklin04401221,"Skin type: Normal to oily
Product name: Oxecure acne clear facial cleanser
Price and size: 199 pesos for 50 mL and 419 pesos for 120 mL
Where to buy: Drug stores, watsons, lazada, shopee
Effects/experience: Ito lang yung effective sakin na cleanser na hindi ako nagddry, I used to love oxecure's pH 5.5 cleanser but nag-breakout na ako simula nung nagreformulate sila so I switched to this. Effective for me! But of course I won't say na this solely cleared my acne, but it helps me control them and di siya dumadagdag sa problema ko.
Matipid siya for me! I think it's slightly expensive for its size but super tipid for me and ilang months an bago maubos, I usually buy pag sale so sulit.
Status: Holy grail, please sana di nila ireformulate to (I wasn't able to try the formula before the current formula so di ko macompare)"
Cetaphil Gentle Skin Cleanser,0.8,Cetaphil Gentle Skin Cleanser (Not the Acne Prone one),Sensitive,"Around P500+ (I get it for P499 at a nearby Watsons, but some some stores I see have higher prices) for 250mL","I've tried a handful of facial cleansers that were sort of effective but not as effective as this cleanser. Grabe pagkasensitive ng skin ko kaya masyadong matapang most ng cleansers kaya, even if they do clean my face, my skin still gets irritated. Some are gentle enough na di magwawala skin ko pero parang feeling niya na wala namang effect. Cetaphil's is gentle enough that it doesn't irritate my skin but still gets the job done.",HG (Holy Grail),Watsons/Deparment Stores/Online,k8w51wa,5,1699765852.0,eseerine,"Skin Type: Sensitive
Product Name: Cetaphil Gentle Skin Cleanser (Not the Acne Prone one)
Price and Size: Around P500+ (I get it for P499 at a nearby Watsons, but some some stores I see have higher prices) for 250mL
Where to buy: Watsons/Deparment Stores/Online
Effects/Experiences: I've tried a handful of facial cleansers that were sort of effective but not as effective as this cleanser. Grabe pagkasensitive ng skin ko kaya masyadong matapang most ng cleansers kaya, even if they do clean my face, my skin still gets irritated. Some are gentle enough na di magwawala skin ko pero parang feeling niya na wala namang effect. Cetaphil's is gentle enough that it doesn't irritate my skin but still gets the job done.
Status: HG"
Cosrx Salicylic Acid Daily Gentle Cleanser,0.66,** Inkey List Salicylic Acid Cleanser,"Sensitive, Dry",** around 900,** I have the occasional hormonal acne flare ups and this cleanser shuts it down. It's also not drying.,HG (Holy Grail),** Skincare PH on Lazada,k8y088m,6,1699806921.0,gipsy7,"**Skin Type:** combo and sensitive sa Pinas, dry and sensitive dito sa abroad
**Product Name:** Inkey List Salicylic Acid Cleanser
**Price and Size:** around 900
**Where to buy:** Skincare PH on Lazada
**Effects/Experience:** I have the occasional hormonal acne flare ups and this cleanser shuts it down. It's also not drying.
**Status:** HG, will repurchase forever.
Cheaper alternative is Klenzit. It's around 500."
