matched_product,match_confidence,product_name,skin_type,price_size,effects,status,availability,comment_id,comment_score,comment_created_utc,comment_author,comment
Skin Aqua UV Super Moisture Gel Gold Sunscreen,0.81,Skin Aqua UV Super Moisture Gel,Oily,110g | 450-550,Been a Bioré girl ever since but nagoioil up ako sa biore so tried this one out and I’m currently on my 3 bottle na. Its suitable for oily gals since it is easily absorbed by the skin. No sticky feeling as well,HG (Holy Grail),,j9nh55r,20,1677131396.0,_luna21,"Skin Type: Oily
Product Name: Skin Aqua UV Super Moisture Gel
Price and Size: 110g | 450-550
Effects and Experience: Been a Bioré girl ever since but nagoioil up ako sa biore so tried this one out and I’m currently on my 3 bottle na. Its suitable for oily gals since it is easily absorbed by the skin. No sticky feeling as well
Status: HG"
Skin Aqua UV Super Moisture Gel Gold Sunscreen,0.66,Skin Aqua UV Moisture Gold Gel SPF50+ PA++++,"Sensitive, Oily, Acne Prone",Php550 for 110g,"finally found a sunscreen that works on my super arteng skin!! Very lightweight, easy to spread and doesn’t sting my eyes. I usually get closed comedones and pimples when using sunscreen pero sa product na ‘to wala. Very hiyang talaga ako dito and ganda din ng lapat nya sa make up. Fresh buong araw. Di ako mukang dugyot while using this sunscreen.",HG (Holy Grail),,jbdf3lw,12,1678255935.0,Muffinlooove,"Skin Type: Sensitive, Oily & Acne Prone
Product Name: Skin Aqua UV Moisture Gold Gel SPF50+ PA++++
Price: Php550 for 110g
Effects/Experience: finally found a sunscreen that works on my super arteng skin!! Very lightweight, easy to spread and doesn’t sting my eyes. I usually get closed comedones and pimples when using sunscreen pero sa product na ‘to wala. Very hiyang talaga ako dito and ganda din ng lapat nya sa make up. Fresh buong araw. Di ako mukang dugyot while using this sunscreen.
Status: HG & WR 💖💖💖💖"
Skin Aqua UV Super Moisture Gel Gold Sunscreen,0.81,Skin Aqua UV Super Moisture Gel,"Oily, Acne Prone",140g,Really wanted to like this one pero unfortunately nagka-comedones ako dito. It's very dewy/shiny on my skin even when it sets. Mabilis din mag-oil up skin ko pag gamit ko to kahit lagyan ko ng setting powder.,WNR (Will Not Repurchase),,jpzvj9n,12,1688048358.0,lanwangjisus,"Skin Type: Snesitive, Oily, Acne-prone
Product Name: Skin Aqua UV Super Moisture Gel
Price and Size: 140g
Effects and Experience: Really wanted to like this one pero unfortunately nagka-comedones ako dito. It's very dewy/shiny on my skin even when it sets. Mabilis din mag-oil up skin ko pag gamit ko to kahit lagyan ko ng setting powder.
Status: WNR"
Belo Dewy Essence Sunscreen,0.74,Belo SunExpert Dewy Essence Sunscreen SPF50 PA++++,"Combination, Dry, Oily","50ml, Php430.00","I love this stuff. This is the most lightweight sunscreen I've ever used, though I prefer emollient sunscreens so take this with a grain of salt. For reference, the original SunExpert Face with SPF40 was lightweight for me, and Dewy Essence feels even more comfortable than that. Some people find that pretty heavy. I can layer this and use three fingers' worth of product without a problem, and it doesn't break me out. I don't really find this dewy or shiny. I tend to get oily throughout the day but this doesn't add to my usual amount of oiliness. This and the OG are great makeup primers, too.",HG (Holy Grail),,j9o63mo,11,1677150883.0,,"Skin Type: Combination, dry-leaning with a tendency to get oily in the T-zone
Product Name: Belo SunExpert Dewy Essence Sunscreen SPF50 PA++++
Price and Size: 50ml, Php430.00
Effects/Experience: I love this stuff. This is the most lightweight sunscreen I've ever used, though I prefer emollient sunscreens so take this with a grain of salt. For reference, the original SunExpert Face with SPF40 was lightweight for me, and Dewy Essence feels even more comfortable than that. Some people find that pretty heavy. I can layer this and use three fingers' worth of product without a problem, and it doesn't break me out. I don't really find this dewy or shiny. I tend to get oily throughout the day but this doesn't add to my usual amount of oiliness. This and the OG are great makeup primers, too.
Status: (HG for Holy Grail, WR for Will Repurchase, WNR for Will Not Repurchase) Probably my HG at this point"
Canmake UV Mermaid Sun Gel Clear Sunscreen,0.85,** Canmake UV Mermaid Sun Gel Clear/Cica,"Combination, Acne Prone","** around ₱500, 40ml",** HG! No issues with it and I’m too lazy to experiment with other brands at this point haha,,,jbf941x,11,1678294914.0,23fantasy,"**Skin Type:** Combination, acne-prone
**Product Name:** Canmake UV Mermaid Sun Gel Clear/Cica
**Price and Size:** around ₱500, 40ml
**Effects/Experience:** I first tried the Clear variant and I really liked it! No white cast, no alcohol/fragrance as well so it’s likely okay for those with sensitive skin like me. Pwede rin siya around the eyes, it doesn’t sting.
Tried the Cica version last month and I think I’ll switch to it permanently hehe. Love the slight green tint as someone who has PIE 🥲
edit: It also doubles as a primer I believe!
Con would be that it’s not waterproof - not an issue if for daily use lang sa work or school with minimal sun exposure. Also it has a dewy finish I think so medj kita kapag textured ang skin (like mine lol) but I don’t find this much of a problem.
**Status:** HG! No issues with it and I’m too lazy to experiment with other brands at this point haha"
Canmake UV Mermaid Sun Gel Clear Sunscreen,0.75,** Canmake Mermaid Skin Gel UV (Clear),"Oily, Acne Prone, Sensitive","** 500 PHP, 40g on Shopee","** This is nice! It may be greasy upon initial application but dries down to a more healthy dewy look. Did not break me out, no stinging or any irritation. Maganda gamitin lalo na for cold weather. Yiu can really why it's recommended by many people. Cons lang is that it's not sweat-resistant, which is what I need for the summer season 🥲 My face sweats like crazy and this will immediately melt once I step out of the house.",HG (Holy Grail),,jertl6r,10,1680520190.0,lanwangjisus,"**Skin Type:** Oily, acne-prone, sensitive skin
**Product Name:** Canmake Mermaid Skin Gel UV (Clear)
**Price and Size:** 500 PHP, 40g on Shopee
**Effects/Experience:** This is nice! It may be greasy upon initial application but dries down to a more healthy dewy look. Did not break me out, no stinging or any irritation. Maganda gamitin lalo na for cold weather. Yiu can really why it's recommended by many people. Cons lang is that it's not sweat-resistant, which is what I need for the summer season 🥲 My face sweats like crazy and this will immediately melt once I step out of the house.
**Status:** HG so far. Sad lang na it's not sweat-resistant."
Biore UV Aqua Rich Watery Essence Sunscreen,0.67,Bioré UV Watery Essence,Oily,"Watsons = 535php, Mercury Drug = I cant remember pero mas cheap sya sa Mercury Drug","Prescribed by my derma kasi I had Acne Vulgaris. Okay naman sya but pag lumalabas ako and nakamask, pansin ko lang is parang shiny shimmery un face ko lol. tho feel ko okay naman un sun protection nya di ko lang bet un mejo shiny sya hehe. I would like to try other sunscreens but eto un nireseta ng derma, and i‘m scared na magbreakout nanaman",WR (Will Repurchase),,j9nix6m,9,1677132559.0,pessimistHotdog,"Skin Type: Oily
Product Name: Bioré UV Watery Essence
Price and Size: Watsons = 535php, Mercury Drug = I cant remember pero mas cheap sya sa Mercury Drug
Effects/Experience: Prescribed by my derma kasi I had Acne Vulgaris. Okay naman sya but pag lumalabas ako and nakamask, pansin ko lang is parang shiny shimmery un face ko lol. tho feel ko okay naman un sun protection nya di ko lang bet un mejo shiny sya hehe. I would like to try other sunscreens but eto un nireseta ng derma, and i‘m scared na magbreakout nanaman
Status: WR, for safety hehe
edited: added some details"
Nivea Derma Skin Clear Deep Pore Cleanser,0.8,**,"Oily, Sensitive",**,"** Isntree. No whitecast! Dewy finish. Didnt get breakout or what. Super moisturizing! Kaya I skip na my usual moisturizer in the morning. A little goes a long way pero generous ako mag apply ng sunscreen lol. Downside lang pala nito hindi water resistant. Biore. I have Biore for back up whenever I go swimming or do water activities. But since di naman ako nagbbeach lately, Isntree talaga gamit ko indoor and outdoor. Issue ko lang sa Biore, sobrang oily ko after huhu kaya pang water ko lang talaga sya ginagamit. May strong scent din pala to upon application.",HG (Holy Grail),,j9nztrk,8,1677145713.0,,"**Skin Type:** Oily, sensitive, gets pimple occasionally (puyat, period, stress etc)
**Product Name:**
Isntree Hyaluronic Acid Watery Sun Gel
Biore UV Watery Essence
**Price and Size:**
Isntree ~₱500 for 50ml
Biore ~₱500 for 50g
**Effects/Experience:**
Isntree. No whitecast! Dewy finish. Didnt get breakout or what. Super moisturizing! Kaya I skip na my usual moisturizer in the morning. A little goes a long way pero generous ako mag apply ng sunscreen lol. Downside lang pala nito hindi water resistant.
Biore. I have Biore for back up whenever I go swimming or do water activities. But since di naman ako nagbbeach lately, Isntree talaga gamit ko indoor and outdoor. Issue ko lang sa Biore, sobrang oily ko after huhu kaya pang water ko lang talaga sya ginagamit. May strong scent din pala to upon application.
**Status:** both HG 🥰"
Skin Aqua UV Super Moisture Gel Gold Sunscreen,0.7,[Skin Aqua UV Super Moisture Gel SPF50+ PA++++](https://shp.ee/acqfuty),"Normal, Dry",110g for ₱450,"I alternate this with my Skin1004 Hyalu-Cica Water Fit Sun Serum. I use this on days my skin isn't feeling too dry or I'm not too lazy for moisturizer [it's not drying ah, I just really have dry skin most of the time since I use actives too kaya my skin requires the use of moisturizer]. Feels good on the skin, non-greasy, and no white cast! It's absorbed well on my skin + barely any drying time. The 110g lasts me soooo long despite using it every day [I reapply this when I'm at home since I'm barefaced lang naman]. No irritations whatsoever.",HG (Holy Grail),,jbdfuym,10,1678256471.0,makeupnskincareonly,"Skin Type: Normal-Dry
Product Name: [Skin Aqua UV Super Moisture Gel SPF50+ PA++++](https://shp.ee/acqfuty)
Price & Size: 110g for ₱450
Effects/Experience: I alternate this with my Skin1004 Hyalu-Cica Water Fit Sun Serum. I use this on days my skin isn't feeling too dry or I'm not too lazy for moisturizer [it's not drying ah, I just really have dry skin most of the time since I use actives too kaya my skin requires the use of moisturizer]. Feels good on the skin, non-greasy, and no white cast! It's absorbed well on my skin + barely any drying time. The 110g lasts me soooo long despite using it every day [I reapply this when I'm at home since I'm barefaced lang naman]. No irritations whatsoever.
Status: WR [can't say it's my HG since I've only been using this for a little over 2 months and I think that's too soon for it to be called a holy grail]"
Anessa Perfect UV Sunscreen Skin Care Milk,0.8,Anessa Perfect UV Sunscreen,Combination,442 for 40 ml (but there are several promo bundles on this product),"Not worth it in my opinion. I got the bundle during a payday sale so it was much cheaper but I still think not worth it for me just because I ended up just giving it away. It ruined my makeup after less than 2 hours. Hulas na hulas talaga. It also made my pores feel congested for some reason. I don't think it's for me but if you really want to try it out, get it on a sale. I got my oil cut powder pact + sun base bundle for only ₱231 so I don't think completely nalugi ako.",,,j9v20vj,6,1677267426.0,doyeonse,"Skin Type: Combination
Product Name: Anessa Perfect UV Sunscreen
Price and Size: 1990 for 60ml on shopee
Effects/Experience: For me, this is the best best sunscreen I have ever tried. It feels weightless on the skin. It doesn't ruin your makeup. Commuter-friendly din! Medyo pricey pero I feel like worth it naman kasi I have never tried something I liked as much as this!
____________
Skin Type: Combination
Product Name: I'm Meme I'm Super Light Oil Sun Base
Price and Size: 442 for 40 ml (but there are several promo bundles on this product)
Effects/Experience: Not worth it in my opinion. I got the bundle during a payday sale so it was much cheaper but I still think not worth it for me just because I ended up just giving it away. It ruined my makeup after less than 2 hours. Hulas na hulas talaga. It also made my pores feel congested for some reason. I don't think it's for me but if you really want to try it out, get it on a sale. I got my oil cut powder pact + sun base bundle for only ₱231 so I don't think completely nalugi ako."
