matched_product,match_confidence,product_name,skin_type,price_size,effects,status,availability,comment_id,comment_score,comment_created_utc,comment_author,comment
Anessa Perfect UV Sunscreen Skin Care Milk,0.75,Anessa Perfect UV Brightening Sunscreen Skincare Gel 50 SPF,Combination,"Bought mine for 1,030 pesos / 90g",- Really gives you that radiant glow after application due to its tone-up effect - Does not leave any white cast but you must apply it properly - Super light-weight! - Noticed that I sweat and oil less once it is applied - Did not experience any breakouts,HG (Holy Grail),,ms0nmh9,20,1747100223.0,emmanuelle-mimieux,"Skin type: Combination
Product Name: Anessa Perfect UV Brightening Sunscreen Skincare Gel 50 SPF
Price and Size: Bought mine for 1,030 pesos / 90g
Effects/Experience:
- Really gives you that radiant glow after application due to its tone-up effect
- Does not leave any white cast but you must apply it properly
- Super light-weight!
- Noticed that I sweat and oil less once it is applied
- Did not experience any breakouts
Status: HG"
Anessa Perfect UV Sunscreen Skin Care Milk,0.8,Anessa,Oily,"1,500+ and 60mL",doesnt make my face more oily. found a lot of sunscreen tests and it always had the best result,HG (Holy Grail),,mrw4jbz,15,1747046740.0,sakayatanaka,"Skin Type: Oily
Product Name: Anessa
Price and Size: 1,500+ and 60mL
Effects/Experience: doesnt make my face more oily. found a lot of sunscreen tests and it always had the best result
Status: HG!!!!"
Skin Aqua UV Super Moisture Gel Gold Sunscreen,0.81,Skin Aqua UV Super Moisture Gel,"Combination, Oily",380-400 for a 110g bottle (shopee),"I've been using this for two weeks now (mostly outdoors) and this has to be one of my favorite sunscreens, yet. I have tanned skin and this leaves absolutely no whitecast on me. Also really easy to re-apply because of how easily it melts into my skin and feels like a light moisturizer. I'm often outdoors and with combination/oily skin, this does leave a bit of a dewy shine. It doesn't look greasy though. I used this on a hike and as someone who sweats a lot, the waterproof rating did seem to hold its ground. It smells strongly of alcohol on first application, but the scent goes away minutes after. It didn't sting my eyes even on hot, sweaty days.",HG (Holy Grail),,mt8kjf4,12,1747711534.0,RambVines,"Skin Type: Combination/Oily
Product Name: Skin Aqua UV Super Moisture Gel
Price and Size: 380-400 for a 110g bottle (shopee)
Effects and Experience:
I've been using this for two weeks now (mostly outdoors) and this has to be one of my favorite sunscreens, yet. I have tanned skin and this leaves absolutely no whitecast on me. Also really easy to re-apply because of how easily it melts into my skin and feels like a light moisturizer.
I'm often outdoors and with combination/oily skin, this does leave a bit of a dewy shine. It doesn't look greasy though. I used this on a hike and as someone who sweats a lot, the waterproof rating did seem to hold its ground. It smells strongly of alcohol on first application, but the scent goes away minutes after. It didn't sting my eyes even on hot, sweaty days.
Status: Potential HG. Will definitely repurchase!"
Biore UV Aqua Rich Watery Essence Sunscreen,0.79,** Biore Aqua Rich UV Watery Essence,Combination,** 490+ for 30g,"** Thick application. Not good for outdoor use, sobrang hulas and lagkit sa feeling. Nakakabreak-out. Only used once.",WNR (Will Not Repurchase),,mrvqqdn,8,1747038237.0,yakult_00,"**Skin Type:** Combination
**Product Name:** Biore Aqua Rich UV Watery Essence
**Price and Size:** 550+ for 70g
**Effects/Experience:** Water-based so it doesn't feel sticky and leaves a nice-glowy satin finish. Have repurchased it 100x coz it works great on humid places. Bought another one yesterday in Watson's Gateway 1 branch and the pack comes with a free travel size. So sulit.
You can also opt out for a moisturiser and apply this right away as it also acts as a moisturiser
**Status: HG!!!**
\------------------------------------------------------------------
**Product Name:** Luxe Organix Aqua Daily Sunscreen
**Price and Size:** 350 for 50ml
**Effects/Experience:** Water-based too so not as sticky but leaves a shine after applying. If my budget can't fit Biore, I tend to go for this but it runs out quickly as it's only 50 ml and hard to get the remaining products as it's not in a squeezable pack.
When I worked in the office, I typically used this so didn't feel hulas after.
**Status: WR**
\----------------------------------------------------------------
**Product Name:** Sunplay Menthol
**Price and Size:** 500? Can't remember the exact price
**Effects/Experience:** Menthol feeling after applying but has a tone-up effect and not good for commuting.
**Status: WNR**
\--------------------------------------------------------------
**Product Name:** Oxecure Daily Sunscreen
**Price and Size:** 490+ for 30g
**Effects/Experience:** Thick application. Not good for outdoor use, sobrang hulas and lagkit sa feeling. Nakakabreak-out. Only used once.
**Status: WNR**"
Skin Aqua UV Super Moisture Gel Gold Sunscreen,0.81,Skin Aqua UV Super Moisture Gel,Oily,"400+ Php, 50g",it has thick & creamy consistency but feels lightweight once applied. Very moisturizing din siya at the same time kaya I don’t need to use a separate moisturizer na. Although it makes my face very shiny but I just dab some powder to remove shine. It doesn’t pill as well kaya winner siya for me.,HG (Holy Grail),,mrvkpdc,6,1747034356.0,Kiwi_pieeee,"Skin Type: Oily
Product Name: Skin Aqua UV Super Moisture Gel
Price & Size: 400+ Php, 50g
Effects / Experience: it has thick & creamy consistency but feels lightweight once applied. Very moisturizing din siya at the same time kaya I don’t need to use a separate moisturizer na. Although it makes my face very shiny but I just dab some powder to remove shine. It doesn’t pill as well kaya winner siya for me.
Status: HG & WR"
Biore UV Aqua Rich Watery Essence Sunscreen,0.69,Bioré UV Aqua Rich Watery Gel / SPF50 + PA++++,"Oily, Dry",552 php for 70 g,"Gel type siya with a creamy white consistency. May tone-up effect siya na minsan hindi ko bet—lalo na kapag nagmamadali akong mag-blend, nagiging reddish or parang grayish ’yung finish. Pero once ma-absorb na ng skin, nawawala naman. Napansin ko na depende talaga sa pag-aapply—nabasa ko rin na best daw if dab dab lang gamit fingers then gently spread, at effective naman ’yun for me. As much as possible, nag-aapply ako sa harap ng electric fan or kapag malamig ’yung paligid kasi mas maganda ’yung lapat. Naamoy ko talaga ’yung alcohol, which makes sense kasi may alcohol content siya. May mga nagsabi na nati-tear up or may sting sa mata, pero personally hindi ko naman na-experience ’yun. Dahil may alcohol, mabilis din siyang mag-set sa skin kaya dapat i-blend agad after apply. So far, okay naman siya. No breakouts and bumps. Binili ko lang din talaga ito para mag-try ng ibang Japanese sunscreens since ubos na ’yung Omi Menturm ko. Binili ko pala siya nitong March 20. mag 2 months na rin halos and hindi pa siya ubos.",HG (Holy Grail),,mrvm962,5,1747035340.0,BrilliantIll7680,"Skin Type: Oily t-zone to Dry cheeks
Product Name: Bioré UV Aqua Rich Watery Gel / SPF50 + PA++++
Price and Size: 552 php for 70 g
Effects/Experience: Gel type siya with a creamy white consistency. May tone-up effect siya na minsan hindi ko bet—lalo na kapag nagmamadali akong mag-blend, nagiging reddish or parang grayish ’yung finish. Pero once ma-absorb na ng skin, nawawala naman. Napansin ko na depende talaga sa pag-aapply—nabasa ko rin na best daw if dab dab lang gamit fingers then gently spread, at effective naman ’yun for me. As much as possible, nag-aapply ako sa harap ng electric fan or kapag malamig ’yung paligid kasi mas maganda ’yung lapat.
Naamoy ko talaga ’yung alcohol, which makes sense kasi may alcohol content siya. May mga nagsabi na nati-tear up or may sting sa mata, pero personally hindi ko naman na-experience ’yun. Dahil may alcohol, mabilis din siyang mag-set sa skin kaya dapat i-blend agad after apply.
So far, okay naman siya. No breakouts and bumps. Binili ko lang din talaga ito para mag-try ng ibang Japanese sunscreens since ubos na ’yung Omi Menturm ko. Binili ko pala siya nitong March 20. mag 2 months na rin halos and hindi pa siya ubos.
Status: HG, WR if may budget"
Beauty of Joseon Relief Sun Sunscreen: Rice + Probiotics,0.8,Beauty of Joseon Relief Sun,Combination,"500-600Php, 50ml","- 🤩Read & seen many good reviews, so I tried it myself. I do many outdoor movements bcs of work, and I think BOJ does its job naman as a sunscreen. - Feels light on skin, easily blends & does not leave any whitecast or icky feeling, esp when face becomes oily or sweaty!! - Some say you can skip your moisturizer too bcs BOJ is very hydrating na rin—I agree! This is the ONLY thing I put on my face every morning after cleanser. No bad effects on my skin naman after having used it for a year (or more); face feels hydrated & protected from the sun! - One 50ml tube lasted for 3 to 4 months for me, so i can say sulit na rin for it’s price",HG (Holy Grail),,mrvxjyl,6,1747042704.0,anon_armadillo,"✨FOR FACE✨
Skin Type: combination (not sure if ganun pa rin until now)
Product Name: Beauty of Joseon Relief Sun
Price and Size: 500-600Php, 50ml
Effects/Experience:
- 🤩Read & seen many good reviews, so I tried it myself. I do many outdoor movements bcs of work, and I think BOJ does its job naman as a sunscreen.
- Feels light on skin, easily blends & does not leave any whitecast or icky feeling, esp when face becomes oily or sweaty!!
- Some say you can skip your moisturizer too bcs BOJ is very hydrating na rin—I agree! This is the ONLY thing I put on my face every morning after cleanser. No bad effects on my skin naman after having used it for a year (or more); face feels hydrated & protected from the sun!
- One 50ml tube lasted for 3 to 4 months for me, so i can say sulit na rin for it’s price
Status: HG!
✨✨✨
As for body sunscreen, I currently make do w/ Kojie-san Skin Lightening Body Lotion w/ SPF25 w/c I just bought from watsons. Ok naman consistency & smell, tho I feel like my arms turn grayish agad pag naaarawan. I’ll be scanning through the thread pa for more body sunscreen recos!"
Biore UV Aqua Rich Watery Essence Sunscreen,0.77,🔆 Bioré UV Aqua Rich Watery Essence SPF 50+ PA++++,"Oily, Acne Prone",₱495 for 100ml | ₱84 for 15ml sachet (Watsons),"Favorite for beach and outdoor activities Heavy and slightly oily texture but deeply hydrating Spreads easily, protects well from harsh sun Slightly greasy feel, but worth it for strong protection",HG (Holy Grail),,mrwfk7j,6,1747051854.0,alohacactus_,"Skin Type: Oily, Acne-Prone
🔆 Bioré UV Aqua Rich Watery Essence SPF 50+ PA++++
Price & Size: ₱527 for 70g (Shopee @Smikie Japan. Ph)
Experience:
Been using since 2019 — skin loves it!
No breakouts, no white cast, lightweight texture
Glides on easily, absorbs fast
Lasts 3–4 months with daily use
Status: Holy Grail — Everyday essential, repurchase forever ♾️
⸻
🔆 Bioré UV Aqua Rich Protect Mist SPF 50+ PA++++
Price & Size: ₱614 for 60ml (Shopee @Smikie Japan. Ph)
Experience:
Used for reapplication 2–3x daily
Lightweight, non-sticky, easy to carry
Doesn’t break out or clog pores
Lasts 3–4 months
Status: Holy Grail — Daily reapplication savior, skin feels protected.
⸻
🔆 DERMPLUS Moisturizing Sunscreen SPF 60 PA++++ (Brown)
Price & Size: ₱495 for 100ml | ₱84 for 15ml sachet (Watsons)
Experience:
Favorite for beach and outdoor activities
Heavy and slightly oily texture but deeply hydrating
Spreads easily, protects well from harsh sun
Slightly greasy feel, but worth it for strong protection
Status: Holy Grail — Family staple, trusted for outdoor protection! 🔆🌺✨"
Belo Dewy Essence Sunscreen,0.7,Belo Pure Mineral Sunscreen,"Sensitive, Acne Prone",₱535/50ml,"Blends super easy and has a matte finish unlike other sunscreens (lalo na’t mataas ang % ng mga UV filters niya), mas okay pa nga to compared to other chemical sunscreen na ang hirap iblend plus ang oily sa face",HG (Holy Grail),,mrzftek,6,1747085404.0,InfiniteChocoyummy,"Skin Type: Sensitive, Acne prone
Product Name: Belo Pure Mineral Sunscreen
Price and Size: ₱535/50ml
Effects/Experience: Blends super easy and has a matte finish unlike other sunscreens (lalo na’t mataas ang % ng mga UV filters niya), mas okay pa nga to compared to other chemical sunscreen na ang hirap iblend plus ang oily sa face
Status: HG, WR—lalo na pag nagb1t1 siya (🤞🏼hopefully 🤞🏼tulad ng other sunscreens nila huhu)
~~
Dati ang HG ko talag is the Perfected Beauty Salve Pure Mineral tinted sunscreen kaso sobrang mahal na niya ngayon halos hindi na makatarungan ₱700+/50ml pero if you have the budget I highly recommend this product. What I love about this sunscreen is that Pure mineral sunscreen siya without any whitecast and meron siyang Iron oxide that protects you from visible light and can help you lighten your darkspots. Unfortunately until now wala pa ako nahahanap na pure physical sunscreen na merong iron oxide that won’t break the bank :("
Biore UV Aqua Rich Watery Essence Sunscreen,0.84,** Bioré UV Aqua Rich Watery Essence,Oily,** ₱400+ for 50ml,** Too watery for my liking but still works great! Though for this I still need to apply primer before everything else so I just use this when I’m going for a barefaced look.,WR (Will Repurchase),,mrvwznj,4,1747042350.0,kaeya_x,"**Skin Type:** Oily
**Product Name:** Bioré UV Aqua Rich Watery Essence
**Price and Size:** ₱500+ for 70g (recently repurchased from Watsons na may small travel-sized bottle freebie!)
**Effects/Experience:** First sunscreen I’ve tried that didn’t feel heavy! I use this as my primer and my makeup is long lasting. 😩 This is what I used during a concert last month.
**Status:** HG
___________
**Product Name:** Face Republic Purity Sun Essence
**Price and Size:** ₱400+ for 50ml
**Effects/Experience:** Too watery for my liking but still works great! Though for this I still need to apply primer before everything else so I just use this when I’m going for a barefaced look.
**Status:** WR"
Skin Aqua UV Super Moisture Gel Gold Sunscreen,0.7,Skin Aqua UV Super Moisture Milk SPF 50+ PA++++,"Dry, Sensitive",Php 545 // 40ml. I wish it came in a bigger size.,"This is a hybrid sunscreen (has both chemical and physical sun filters). I use Skinoren Azelaic Acid in the morning and this sunscreen doesn't aggravate the stinging sensation. If you use azelaic acid, usually physical sunscreen is recommended, but it has white cast. Chemical sunscreens doesn't, but it always stings. So this sunscreen is perfect. It has a runny milky consistency. It's smooth and very easy to blend. It dries down with a satin finish, perfect for a makeup base or on it's own.",HG (Holy Grail),,mrvzqsn,5,1747044048.0,devonnemai,"**Skin Type**: Dry & Sensitive
**Product Name**: Skin Aqua UV Super Moisture Milk SPF 50+ PA++++
**Price and Size**: Php 545 // 40ml. I wish it came in a bigger size.
**Effects/Experience**: This is a hybrid sunscreen (has both chemical and physical sun filters). I use Skinoren Azelaic Acid in the morning and this sunscreen doesn't aggravate the stinging sensation. If you use azelaic acid, usually physical sunscreen is recommended, but it has white cast. Chemical sunscreens doesn't, but it always stings. So this sunscreen is perfect. It has a runny milky consistency. It's smooth and very easy to blend. It dries down with a satin finish, perfect for a makeup base or on it's own.
**Status**: HG!!! I WILL FOREVER REPURCHASE THIS. I've been using Beauty of Joseon for the longest time, but ever since I started azelaic acid I stopped. Idk if it's true that it was discontinued already 😭 I hope not. Hopefully not a reformulation too."
